loading file...  ../corpuses/grandeTexto.txt
'[92m'


==========================================

        RESULTING N GRAM !!
        
-      -       -         -       -      -        -     -

A incogniscibilidade  =1
incogniscibilidade pós-moderna  =1
pós-moderna do  =1
do Ser.
  =1
exigidas. Por  =1
efetuados cumpre  =1
atuais. Assim  =1
parte. Do  =1
negativos. Correlativamente,  =1
Super-Homem, traz  =1
mundiais pode  =1
figurado. É  =1
filosóficos talvez  =1
relatividade de  =1
conflitante marca  =1
prazo. Essa  =1
retrocedente. Não  =1
subjetivos estende  =1
dificuldades ainda  =1
propostas institui  =1
então. Acabei  =1
afecções. Nunca  =1
compostas permitiria  =1
ou primordialefetua  =1
primordialefetua a  =1
é. É  =1
homérica. Evidentemente,  =1
considerados obstaculiza  =1
julgar. Antes  =1
conceitos. Baseado  =1
contas, possibilita  =1
homem. Mas,  =1
relacionais permite  =1
revolucionária. Deve-se  =1
eterno justificaria  =1
hybris-nêmesis designa  =1
dialético-social. Sob  =1
verdade. As  =1
pós-modernidade. A  =1
Grice emprega  =1
infinidade unificou  =1
normativa. Acima  =1
relevantes, maximiza  =1
Laplace. Contudo,  =1
poder, reduziria  =1
matéria. Levando  =1
lógica vem  =1
possível undefinedda  =1
undefinedda condição  =1
r))). Com  =1
romano. Bergson  =1
repressivo undefineddas  =1
virtualizada undefineddo  =1
undefineddo prazer  =1
dor. Caros  =1
considerados cumpre  =1
parte. Mesmo  =1
político efetua  =1
figurado. Boécio,  =1
conceitual maximiza  =1
Uno marca  =1
normativas. Seguindo  =1
racionalista. Essa  =1
prazo, uma  =1
pós-jungiana estende  =1
desterritorializado. Ainda  =1
compostas recorre  =1
potência. Evidentemente,  =1
sociais. Por  =1
cognitiva. Estas  =1
não-sábios. A  =1
proletariado. A  =1
humanidade. Acima  =1
Sein vem  =1
Fliess deve  =1
eterno traz  =1
cognitivo permitiria  =1
r))). As  =1
volitivo possibilita  =1
Laplace. Do  =1
quantificadores define  =1
relevantes, implica  =1
conflitante reabilita  =1
partículas. Como  =1
incógnitas. De  =1
fálico) unificou  =1
indiscernível. No  =1
verdade. Se  =1
repressivo undefinedde  =1
prazo. Baseando-se  =1
preconizado cumpre  =1
Uno estimula  =1
infinidade resultou  =1
Internet estende  =1
dificuldades pode  =1
figurado. Ainda  =1
não-sábios. Se,  =1
pós-moderna. Uma  =1
espírito vem  =1
não-quantificado criaria  =1
atuais. Baseando-se  =1
no modo  =1
libidinal representa  =1
Logic. Bergson  =1
inconscientes possibilita  =1
poder. Inevitavelmente,  =1
quantificadores deve  =1
Sein implica  =1
envolvidas. Numa  =1
conflitante permitiria  =1
medieval, traz  =1
incógnitas. Um  =1
empírico. Levando  =1
substância. Evidentemente,  =1
subjetivação undefinedde  =1
pós-moderno. Acabei  =1
científicas. No  =1
enunciativo. Podemos  =1
normativa. Seguindo  =1
indeterminado, exige  =1
objetivos representa  =1
platônica impossibilita  =1
calar. Desta  =1
virtuoso. Baseando-se  =1
primordialnão causa  =1
natureza acarreta  =1
dialético-social. Evidentemente,  =1
pós-moderna. Antes  =1
fundamentais. Se,  =1
autor, auxilia  =1
espírito permitiria  =1
não-objetos. Acima  =1
Grice tem  =1
lógica apresenta  =1
inconscientes permite  =1
virtual emprega  =1
refutada implica  =1
consumo possibilita  =1
narcísico facilita  =1
epistêmica. Contra  =1
indiscernível. Um  =1
chomskyana, uma  =1
pós-jungiana faz  =1
substância. Baseado  =1
normativas. Wittgenstein  =1
deontológica. De  =1
infinito. Entretanto,  =1
preconizado possibilita  =1
(Entscholossenheit) exige  =1
radical é  =1
atuais. Seguindo  =1
proposicional deve  =1
indeterminado, talvez  =1
figurado. Este  =1
platônica unificou  =1
histórico-social. Essa  =1
ou primordialpermite  =1
primordialpermite um  =1
discursivas. Ainda  =1
propostas deve  =1
contas, ainda  =1
não-sábios. Deve-se  =1
irredutíveis tem  =1
significado, possibilita  =1
quantificadores facilita  =1
logicista. Porém,  =1
ortodoxas. Levando  =1
psico-lógicas impossibilita  =1
substância. Estas  =1
relacionais undefinedda  =1
descentralizadoras se  =1
globalizado compromete  =1
deontológica. Evidentemente,  =1
radical deverá  =1
aberto. É  =1
feminino, ainda  =1
racionalista. De  =1
consumo institui  =1
virtuoso. Entretanto,  =1
Fliess potencializa  =1
chomskyana, um  =1
dialético-social. Se  =1
dor. Poderia  =1
Logic. Baseando-se  =1
não-quantificado verifica  =1
incógnitas. Como  =1
virtualizada traz  =1
irredutíveis talvez  =1
refutada corresponde  =1
narcísico afeta  =1
rasa prepara-nos  =1
normativas. Sob  =1
pós-moderna. Numa  =1
bem-viver designa  =1
substância. Acabei  =1
socio-linguisticos. Mesmo  =1
fálico) impossibilita  =1
mostrou, recorre  =1
Logic. É  =1
compostas ainda  =1
epistêmica. Efetuando  =1
continental. Pretendo  =1
vivemos desafia  =1
repressivo agrega  =1
pós-modernidade. Mesmo  =1
tudo, um  =1
conjuntos verifica  =1
rasa nos  =1
sistema. Levando  =1
informações. Baseando-se  =1
não-quantificado acarreta  =1
ruptura, deverá  =1
racionalista. Numa  =1
